Date,0
2005-02-01,116014.43138014391
2005-03-01,107962.87712266002
2005-04-01,93926.08545917395
2005-05-01,103318.86202355403
2005-06-01,95906.51909865602
2005-07-01,110713.86619824135
2005-08-01,121323.47481266987
2005-09-01,138064.2742993562
2005-10-01,147857.02022232415
2005-11-01,173427.93579322938
2005-12-01,183378.329907377
2006-01-01,192512.36459110107
2006-02-01,175075.37163134385
2006-03-01,161371.76509577443
2006-04-01,179058.64723076596
2006-05-01,153056.8465535605
2006-06-01,147282.00927720813
2006-07-01,173377.0308493432
2006-08-01,173735.53086186742
2006-09-01,196337.48796234262
2006-10-01,206724.2269991301
2006-11-01,232357.5220319178
2006-12-01,216358.55859527303
2007-01-01,218896.83327478208
2007-02-01,213436.3102605261
2007-03-01,230618.08472875628
2007-04-01,247568.40126482054
2007-05-01,292684.7944363821
2007-06-01,292692.2350902255
2007-07-01,311125.7578921713
2007-08-01,323985.4595353719
2007-09-01,354712.3120245867
2007-10-01,437590.0601959154
2007-11-01,416863.6196149987
2007-12-01,450567.19047795335
2008-01-01,326119.5480888871
2008-02-01,309320.5526183684
2008-03-01,323581.37524109683
2008-04-01,358076.2301453325
2008-05-01,371921.37076988287
2008-06-01,337051.9642150935
2008-07-01,329143.2596724086
2008-08-01,340890.5807892014
2008-09-01,280743.94769381755
2008-10-01,246256.5647052292
2008-11-01,222825.29633221362
2008-12-01,216498.57944375696
2009-01-01,209809.19627479083
2009-02-01,206283.5849626705
2009-03-01,241536.77301027003
2009-04-01,287034.86616394995
2009-05-01,308855.4651469322
2009-06-01,324594.0345392832
2009-07-01,368891.76592795725
2009-08-01,380231.48259298946
2009-09-01,416775.3390730092
2009-10-01,424507.2746044232
2009-11-01,450224.7002672971
2009-12-01,473481.0610754516
2010-01-01,433063.29883759556
2010-02-01,460068.30953162315
2010-03-01,525930.7793465779
2010-04-01,582213.2443175887
2010-05-01,569925.3364674526
2010-06-01,556392.6699408534
2010-07-01,571097.6126291967
2010-08-01,539343.1077150637
2010-09-01,626833.1359849522
2010-10-01,665047.2345721668
2010-11-01,685552.3819836471
2010-12-01,712364.1743582898
2011-01-01,747949.265569363
2011-02-01,776222.4227105653
2011-03-01,765532.0789313068
2011-04-01,769798.4192954452
2011-05-01,764137.5810533117
2011-06-01,739132.8629290726
