Date,Return
2000-02-01,-0.08684599139388649
2000-03-01,0.18881160410478914
2000-04-01,-0.3435294185565786
2000-05-01,-0.10304619012438243
2000-06-01,0.27872062767671446
2000-07-01,-0.127343893152287
2000-08-01,0.0
2000-09-01,-0.13607827020312058
2000-10-01,0.1419689692367756
2000-11-01,-0.16696960204551126
2000-12-01,-0.2440085618933998
2001-01-01,0.40778027796715377
2001-02-01,-0.03377650883515082
2001-03-01,-0.07309336115057818
2001-04-01,0.23885729759623353
2001-05-01,0.021106491136155148
2001-06-01,0.055219283225886207
2001-07-01,-0.09328804381842881
2001-08-01,-0.13808763977283822
2001-09-01,-0.10306720863147234
2001-10-01,0.13640864718650003
2001-11-01,0.10421281377115887
2001-12-01,0.03177056846608983
2002-01-01,-0.03833994309280053
2002-02-01,-0.08428783466165124
2002-03-01,0.033767557430445905
2002-04-01,-0.1334767842772755
2002-05-01,-0.025832343198906815
2002-06-01,0.07444488069154165
2002-07-01,-0.12285184134586724
2002-08-01,0.022926172139751566
2002-09-01,-0.10880196230427663
2002-10-01,0.22245096383070706
2002-11-01,0.07873578301380801
2002-12-01,-0.10367568577628139
2003-01-01,-0.08201142290417396
2003-02-01,-0.001264610727984783
2003-03-01,0.02480410126447552
2003-04-01,0.056174844869857576
2003-05-01,-0.0375447179873134
2003-06-01,0.041853891085220196
2003-07-01,0.03003086725983284
2003-08-01,0.004165221188565216
2003-09-01,0.04826556346543831
2003-10-01,-0.05971217871096912
2003-11-01,-0.010931967063696924
2003-12-01,0.06456627207147592
2004-01-01,0.010229601603622962
2004-02-01,-0.04050597322331917
2004-03-01,-0.06030872390463449
2004-04-01,0.04813454924974758
2004-05-01,0.003826531520804144
2004-06-01,0.08882971916826943
2004-07-01,-0.0024509516404920273
2004-08-01,-0.0417687683544854
2004-09-01,0.01580815812271541
2004-10-01,0.011573145255786788
2004-11-01,-0.04147313832945887
2004-12-01,0.11079914596127294
2005-01-01,-0.016466603942483893
2005-02-01,-0.042618204089821865
2005-03-01,-0.03638379301193806
2005-04-01,0.04675153842024349
2005-05-01,0.01976317347154466
2005-06-01,-0.03415588197952124
2005-07-01,0.030998512830789693
2005-08-01,0.06911401265311623
2005-09-01,-0.057475982216062316
2005-10-01,-0.001165383462455205
2005-11-01,0.0770427099682982
2005-12-01,-0.052505550030139014
2006-01-01,0.07648222767336632
2006-02-01,-0.04547082356834631
2006-03-01,0.016085317371442365
2006-04-01,-0.11245918489898488
2006-05-01,-0.0621114477600575
2006-06-01,0.03270915857887835
2006-07-01,0.03261783383464212
2006-08-01,0.06816246618568411
2006-09-01,0.06812181058453048
2006-10-01,0.04972537071681238
2006-11-01,0.022640181367788115
2006-12-01,0.02050725976281087
2007-01-01,0.03348979638383365
2007-02-01,-0.08716813977168103
2007-03-01,-0.0072192703960699545
2007-04-01,0.07427387900996929
2007-05-01,0.025050002945979477
2007-06-01,-0.036641965887405537
2007-07-01,-0.016287453514031602
2007-08-01,-0.008968814169863393
2007-09-01,0.029003316258524814
2007-10-01,0.24949062512315523
2007-11-01,-0.08720477370774704
2007-12-01,0.06302682216546573
2008-01-01,-0.08426959223231167
2008-02-01,-0.16564416726318143
2008-03-01,0.04743672751993233
2008-04-01,0.004933163828356957
2008-05-01,-0.0070127950006071416
2008-06-01,-0.02502569485364836
2008-07-01,-0.06506723243355661
2008-08-01,0.06104260819239937
2008-09-01,-0.018086100099576674
2008-10-01,-0.16335697014315897
2008-11-01,-0.09449181696314801
2008-12-01,-0.03206227979619736
2009-01-01,-0.12036998817786959
2009-02-01,-0.05555580646956515
2009-03-01,0.1452598664603164
2009-04-01,0.10288564601039041
2009-05-01,0.031095680274957127
2009-06-01,0.14509106399980842
2009-07-01,-0.010517498583651919
2009-08-01,0.04804416322694238
2009-09-01,0.04927454078497728
2009-10-01,0.07814955572187143
2009-11-01,0.06058435402286588
2009-12-01,0.040962827913646915
2010-01-01,-0.07545929627373926
2010-02-01,0.017388466661976576
2010-03-01,0.02640293679037664
2010-04-01,0.04267649576405308
2010-05-01,-0.1552060506496803
2010-06-01,-0.10411584306777955
2010-07-01,0.12168650769827472
2010-08-01,-0.09066242603178398
2010-09-01,0.04902576893780797
2010-10-01,0.08901617086953895
2010-11-01,-0.05286818823963624
2010-12-01,0.11169729053819855
2011-01-01,-0.006449085088239381
2011-02-01,-0.04147129669992822
2011-03-01,-0.03912454258901088
2011-04-01,0.020874584034478616
2011-05-01,-0.035108279569169065
2011-06-01,0.04639875980456831
2011-07-01,0.05384569547985052
2011-08-01,-0.029196883160801823
2011-09-01,-0.058379669986083904
2011-10-01,0.06990745919078378
2011-11-01,-0.039429231990707025
2011-12-01,0.02249701881547317
2012-01-01,0.13751929937395757
2012-02-01,0.07483964156154799
2012-03-01,0.023073814318503416
2012-04-01,-0.0074393784917422545
2012-05-01,-0.08838220339900837
2012-06-01,0.054837964128348515
2012-07-01,-0.03661328654894136
2012-08-01,0.045809230680688096
2012-09-01,-0.027996624292617178
2012-10-01,-0.04099440352267081
2012-11-01,-0.06727396702320132
2012-12-01,0.011625839090000145
2013-01-01,0.027705053443128236
2013-02-01,0.012750372832458723
2013-03-01,0.03765734000606602
2013-04-01,0.15693789645395917
2013-05-01,0.05438092252050075
2013-06-01,-0.0033754301926282038
2013-07-01,-0.07817007631744166
2013-08-01,0.04899444925237395
2013-09-01,0.0034288241444544454
2013-10-01,0.06400261012766628
2013-11-01,0.07681418614403346
2013-12-01,-0.011441667242551357
2014-01-01,0.011493717667317327
2014-02-01,0.012421100062718127
2014-03-01,0.07797872913715587
