Date,AAPL,MSFT,SPY
2000-02-01,0.1048203777272631,-0.0868459913938864,-0.0152261357467068
2000-03-01,0.1848415019799887,0.1888116041047891,0.0941340802799604
2000-04-01,-0.0865163769272943,-0.3435294185565786,-0.032667878049737
2000-05-01,-0.3229220569148638,-0.1030461901243824,-0.0157229884543553
2000-06-01,0.2470239504871449,0.2787206276767144,0.0172862326803118
2000-07-01,-0.0298331523900765,-0.127343893152287,-0.0133844846679872
2000-08-01,0.1992627556705049,0.0,0.0653408008662752
2000-09-01,-0.5774365797559381,-0.1360782702031205,-0.0572308114886928
2000-10-01,-0.2402913444521156,0.1419689692367756,-0.0021772426203172
2000-11-01,-0.1565477845937173,-0.1669696020455112,-0.0746527488692673
2000-12-01,-0.0984855846436815,-0.2440085618933998,-0.0082686336215174
2001-01-01,0.453782266115982,0.4077802779671537,0.0476627859952729
2001-02-01,-0.1560696114169301,-0.0337765088351508,-0.0953876076906706
2001-03-01,0.2093143588199122,-0.0730933611505781,-0.0585715103470468
2001-04-01,0.154963007322642,0.2388572975962335,0.0883624612115592
2001-05-01,-0.2173405571477279,0.0211064911361551,-0.0056059298305151
2001-06-01,0.1654144379987767,0.0552192832258862,-0.0265980390156452
2001-07-01,-0.1918286347723743,-0.0932880438184288,-0.0073806717306291
2001-08-01,-0.0127728528811862,-0.1380876397728382,-0.0593322638994967
2001-09-01,-0.1638827733160606,-0.1030672086314723,-0.0850632989110079
2001-10-01,0.1321725966731357,0.1364086471865,0.0168227355892836
2001-11-01,0.212985474081899,0.1042128137711588,0.0779772777651512
2001-12-01,0.0281681380299281,0.0317705684660898,0.0021921935835518
2002-01-01,0.1287698047738106,-0.0383399430928005,-0.0063930626590161
2002-02-01,-0.1221689988174613,-0.0842878346616512,-0.0179361197601058
2002-03-01,0.0907842258465712,0.0337675574304459,0.0303191553355646
2002-04-01,0.0253477171649667,-0.1334767842772755,-0.0554573989974873
2002-05-01,-0.0399686699592826,-0.0258323431989068,-0.0059340698052109
2002-06-01,-0.2394830405993583,0.0744448806915416,-0.0770375637521094
2002-07-01,-0.1388270702689109,-0.1228518413458672,-0.075595419689402
2002-08-01,-0.0334202652304956,0.0229261721397515,0.0068010525252619
2002-09-01,-0.0169480027526153,-0.1088019623042766,-0.1088474211343759
2002-10-01,0.1082730767109585,0.222450963830707,0.0871356215125469
2002-11-01,-0.0354680997542122,0.078735783013808,0.0616812246925648
2002-12-01,-0.0754845515018175,-0.1036756857762813,-0.0611833699289895
2003-01-01,0.002094776344103,-0.0820114229041739,-0.019801271470384
2003-02-01,0.04526458488572,-0.0012646107279847,-0.0134792304698736
2003-03-01,-0.057962549875087,0.0248041012644755,-0.0018844558530817
2003-04-01,0.0056591612367853,0.0561748448698575,0.0889847788343956
2003-05-01,0.2623057653962355,-0.0375447179873134,0.0548365487868667
