,AAPL,MSFT,SPY
AAPL,0.011812974351915815,0.003970594685096164,0.002613886550510567
MSFT,0.003970594685096164,0.006357842924843455,0.00212470745461077
SPY,0.002613886550510567,0.00212470745461077,0.0019460039265671125
